Species,DISEASE,AGENT,TYPE,SYNDROME,MEASURES,Source,Source_1,souce,Soure
Thunnus thynnus,Blood fluke infections,Didymocystoides semiglobularis,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymoproblema fusiforme,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymostoma bipartitum,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymozoon filicolle,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymozoon longicolle,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymozoon longicolle,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymozoon palati,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Didymozoon pretiosus,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymozoon pretiosus,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Didymozoon thynni,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Pagrus auratus,Blood fluke infections,Diptherostomum sp.,Digenea,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Distomum clavatum,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Hirudinella clavata,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Hirudinella fusca,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Hirudinella ventricosa,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Blood fluke infections,Hirudinella ventricosa,Digenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Blood fluke infections,Koellikerioides apicalis,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Koellikerioides internogastricus,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Koellikerioides intestinalis,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Koellikerioides orientalis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Kollikeria bipartita,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Kollikeria globosa,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Kollikeria globosa,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Kollikeria orientalis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Kollikeria reniformis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Lecithaster gibbosus,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Lecithocladium excisum,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Lobatozoum multisacculatum,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Nematobothrium sp.,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Oesophagocystis dissimilis,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Oesophagocystis sp.,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Platocystis alalongae,Digenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Pagrus auratus,Blood fluke infections,Proctoeces sp.,Digenea,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Prosorhynchoides sibi,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Rhipidocotyle pentagonum,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Rhipidocotyle septpapillata,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Blood fluke infections,Sterrhurus imocavus,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Sterrhurus imocavus,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Wedlia bipartita,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Blood fluke infections,Wedlia orientalis,Digenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Didymocystis thynni,Digenea,NA,NA,NA,NA,NA,NA
Thunnus maccoyii,Flatworm infection,Didymocystis wedli,Digenea,NA,NA,NA,NA,NA,NA
Oncorhynchus mykiss,Trematodal parasite,Diplostomum spathaceum,Digenea,Eye lens cloudy; loss of condition,No treatment available. Water supply kept clear of snail hosts,http://www.fao.org/fishery/culturedspecies/Oncorhynchus_mykiss/en#tcNA00D22,NA,NA,NA
Dicentrarchus labrax,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,Skin darkening; skin dusty appearance (velvet disease),Freshwater treatment,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Sciaenops ocellatus,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,"Trophont (appears as small whitish spots) on skin, fins &/or gills; weakness; anorexia; flashing; scratching","Fresh water dip (5-15 min); tank flushing (at least 6 tank volumes per day); filtration (microscreen, drum/ bead filters); copper sulphate - not approved for food fish; formalin dips (30 min, 2-4 ml formalin in 10 litres) - not approved for food fish",http://www.fao.org/fishery/culturedspecies/Sciaenops_ocellatus/en#tcNA00D15,NA,NA,NA
Rachycentron canadum,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,Coughing; flashing; operculum flared out; reluctance to feed; visible on gills & fins; appears as small dark spots on gill filaments under a stereoscope,Copper sulphate pentahydrate; decrease salinity in some cases (freshwater dip); flush system; formalin bath/treatment; mechanical filtration down to at least 40 microns,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D9,NA,NA,NA
Lates calcarifer,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,Found in marine conditions: In young fish opaque patches or a green discolouration of the skin; patches of skin lifting of surface & ulcersIn older fish rapid opercular movements; excess gill mucus; dark green gill colour More common in broodstock and in raceways; associated with low water temperatures or rapid drops in temperature,"Treatment with freshwater, copper, formalin or hydrogen peroxide bath",NA,NA,NA,NA
Argyrosomus regius,Amyloodiniasis,Amyloodinium ocellatum,Dinoflagellate,"Protozoan attach to gills, producing irritation, asphyxia and hypermucosis",Formalin; copper sulphate,http://www.fao.org/fishery/culturedspecies/Argyrosomus_regius/en#tcNA00C6,NA,NA,NA
Lates calcarifer,Piscinoodiniasis,Piscinoodinium sp.,Dinoflagellate,Found in freshwater: In young fish opaque patches or a greenish discolouration of the skin; patches of skin lifting of surface & ulcers In older fish rapid opercular movements; excess gill mucus; dark green gill colour,Treatment with salt bath,NA,NA,NA,NA
Mugil cephalus,Epizootic ulcerativesyndrome,Aphanomyces invadans,Fungi,Skin ulcers,Environmental improvement,NA,NA,NA,http://www.fao.org/fishery/culturedspecies/Mugil_cephalus/en#tcNA00C12
Seriola quinqueradiata,Fungal infection,Ichthyosporidium sp.,Fungi,"Affects circulation system and some other organs of the fish; clinical signs seen only when infection is well established, which may include change of appearance, deformity, emaciation, colour changes and loss of balance","No effective treatment, although a combination of oral and in-water medication with 2-phenoxyethanol has been recommended; prompt removal of infected fish; stop feeding raw fish or raw fish based products",http://www.fao.org/fishery/culturedspecies/Seriola_quinqueradiata/en#tcNA00D15,NA,NA,NA
Lates calcarifer,Integumentary mycosis,Achlya sp.,Fungi,"Raised, fluffy growths on skin & fins; associated with low water temperatures & skin trauma",Salinity reversal and formalin baths; do not handle fish when water temperatures low,NA,NA,NA,NA
Lates calcarifer,Integumentary mycosis,Saprolegnia sp.,Fungi,"Raised, fluffy growths on skin & fins; associated with low water temperatures & skin trauma",Salinity reversal and formalin baths; do not handle fish when water temperatures low,NA,NA,NA,NA
Pagrus auratus,Mycotic Disease,Scytalidium infestans,Fungi,NA,NA,"Mycotic Disease of Juvenile Red Sea Bream, Pagrus major, Caused by Scytalidium infestans",NA,NA,NA
Sparus aurata,NA,Ichtyophonus,Fungi,NA,NA,https://link.springer.com/content/pdf/10.1007%2Fs10530-008-9269-3.pdf,NA,NA,NA
Salmo salar,Saprolegniasis,Saprolegnia sp.,Fungi,"White or grey patches of filamentous threads on surface; cotton-like appearance radiating in circular, crescent-shaped or whorled pattern; usually begins on head or fins",Bronopol/formalin bath,http://www.fao.org/fishery/culturedspecies/Salmo_salar/en#tcNA00A9,NA,NA,NA
Sciaenops ocellatus,NA,Piscicola sp.,Hirudinea,NA,NA,https://www.researchgate.net/publication/265966055_Ectoparasites_of_Red_Drum_Sciaenops_ocellatus_in_Pen_Culture_System_at_Setiu_Lagoon,NA,NA,NA
Dicentrarchus labrax,Isopodiasis,Anilocra physoides,Isopod,Growth retardation; gills and skin tissue necrosis; adults and larvae on fish,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Isopodiasis,Ceratothoa oestroides,Isopod,Growth retardation; gills and skin tissue necrosis; adults and larvae on fish,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Isopodiasis,Nerocilla orbiguyi,Isopod,Growth retardation; gills and skin tissue necrosis; adults and larvae on fish,Correct prophylaxis,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,https://www.fishbase.de/Diseases/DiseasesList.php?ID=63&StockCode=73,NA,NA
Siganus rivulatus,Sea lice,Nerocila bivittata,Isopod,NA,NA,https://www.cabi.org/ISC/datasheet/64227,NA,NA,NA
Sciaenops ocellatus,Sea lice,Nerocila sp.,Isopod,NA,NA,https://www.researchgate.net/publication/265966055_Ectoparasites_of_Red_Drum_Sciaenops_ocellatus_in_Pen_Culture_System_at_Setiu_Lagoon,NA,NA,NA
Gadus morhua,Lomosis,Loma branchialis,Microsporidia,Gill cysts; respiratory problems,None described,NA,NA,http://www.fao.org/fishery/culturedspecies/Gadus_morhua/en,NA
Thunnus thynnus,Microsporidiosis,Microsporidian sp.,Microsporidia,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Scophthalmus maximus,Microsporidiosis,Tetramicra brevifilum,Microsporidia,€“,Density reduction,http://www.fao.org/fishery/culturedspecies/Psetta_maxima/en,NA,NA,NA
Salmo salar,NA,Paranucleospora theridion,Microsporidia,NA,NA,"Di Cicco, E., Ferguson, H.W., Schulze, A.D., Kaukinen, K.H., Li, S., Vanderstichel, R., Wessel, Ã˜., Rimstad, E., Gardner, I.A., Hammell, K.L., Miller, K.M., 2017. Heart and skeletal muscle inflammation (HSMI) disease diagnosed on a British Columbia salmon farm through a longitudinal farm study. PLOS ONE. 12, e0171471.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Atalostroppion sardae,Monogenea,NA,NA,NA,NA,NA,NA
Argyrosomus regius,Flatworm infection,Benedenia sciaenae,Monogenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Seriola quinqueradiata,Flatworm infection,Benedenia seriolae,Monogenea,"Attaches to skin; at the site of attachment fish secrete viscous fluid and develop a sore as the fish rub the site against the side of the pen; skin peels off, exposing the flesh","Prevented by dipping the stock in freshwater for 5 min, every 10-14 days or by dipping the stock in aerated seawater containing 500 ppm hydrogen peroxide for 5-7 min",http://www.fao.org/fishery/culturedspecies/Seriola_quinqueradiata/en#tcNA00D16,NA,NA,NA
Thunnus maccoyii,Flatworm infection,Benedenia seriolae,Monogenea,NA,NA,NA,NA,NA,NA
Thunnus orientalis,Flatworm infection,Benedenia seriolae,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Pagrus auratus,Flatworm infection,Bivagina pagrosomi,Monogenea,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Paralichthys olivaceus,Flatworm infection,Bivagina tai,Monogenea,NA,NA,"Park, S, 2009. Disease control in Korean aquaculture. 44, 19-23.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Caballerocotyla biparasitica,Monogenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Caballerocotyla goueri,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Caballerocotyla magronum,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Flatworm infection,Caballerocotyla paucispinosa,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Caballerocotyla sp.,Monogenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Caballerocotyla sp.,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Capsala albsmithi,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Cetiotrema crassum,Monogenea,NA,NA,NA,NA,NA,NA
Pagrus auratus,Flatworm infection,Choricotyle australensis,Monogenea,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Colocyntotrema sp,Monogenea,NA,NA,NA,NA,NA,NA
Lates calcarifer,Flatworm infection,Dactylogyrus sp.,Monogenea,Rapid opercular movements; anorexia; white areas on gills,"Treatment with salinity reversal, formalin, organo-phosphate or praziquantel bath",NA,NA,NA,NA
Lates calcarifer,Flatworm infection,Diplectanum sp.,Monogenea,Rapid opercular movements; anorexia; white areas on gills,"Treatment with salinity reversal, formalin, organo-phosphate or praziquantel bath",NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Hexostoma acutum,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Hexostoma albsmithi,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Hexostoma dissimile,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus orientalis,Flatworm infection,Hexostoma grossum,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Hexostoma thynni,Monogenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Kuhnia thunni,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Pagrus auratus,Flatworm infection,Lamellodiscus pagrosomus,Monogenea,NA,NA,"Sharples, A.D., Evans, C.W.J.N.Z.J.o.M., Research, F., 1995. Metazoan parasites of the snapper, Pagrus auratus (Bloch & Schneider, 1801), in New Zealand. 1. Prevalence and abundance. 29, 195-201.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Metapseudaxine ventrosicula,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Nasicola hogansi,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Nasicola klawei,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Lates calcarifer,Flatworm infection,Neobenedinia melleni,Monogenea,Marine fish with opaque cornea; white patches on skin; skin ulcers; associated with high salinity & cool water temperatures,Treatment in freshwater or hydrogen peroxide bath,NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Neohexostoma extensicaudatum,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Neohexostoma sp.,Monogenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Neohexostoma thunninae,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Nybelinia lingualis,Monogenea,NA,NA,NA,NA,NA,NA
Siganus rivulatus,Flatworm infection,Polylabris mamaevi,Monogenea,NA,NA,https://www.cabi.org/ISC/datasheet/64229,NA,NA,NA
Thunnus maccoyii,Flatworm infection,Pterobothrium heteracanthum,Monogenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Sibitrema poonui,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus maccoyii,Flatworm infection,Syncoelium filiferum,Monogenea,NA,NA,NA,NA,NA,NA
Thunnus thynnus,Flatworm infection,Tristomella interrupta,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Tristomella laevis,Monogenea,NA,NA,"Rigos, G., Katharios, P.J.R.i.F.B., Fisheries, 2010. Pathological obstacles of newly-introduced fish species in Mediterranean mariculture: a review. 20, 47-70.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Tristomella nozawae,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Thunnus thynnus,Flatworm infection,Tristomella onchidiocotyle,Monogenea,NA,NA,"Munday, B., Sawada, Y., Cribb, T., Hayward, C.J.J.o.F.D., 2003. Diseases of tunas, Thunnus spp. 26, 187-206.",NA,NA,NA
Siganus rivulatus,NA,Glyphidohaptor plectocirra,Monogenea,NA,NA,https://www.cabi.org/ISC/datasheet/64225,NA,NA,NA
Dicentrarchus labrax,Flatworm infection,Diplectanum aequans,Monogenean,Skin cloudiness; focal reddening with excess mucus production; epithelial hyperplasia; gill haemorrhages,Correct prophylaxis; good husbandry condition,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Dicentrarchus labrax,Flatworm infection,Diplectanum laubieri,Monogenean,Skin cloudiness; focal reddening with excess mucus production; epithelial hyperplasia; gill haemorrhages,Correct prophylaxis; good husbandry condition,http://www.fao.org/fishery/culturedspecies/Dicentrarchus_labrax/en#tcNA013A,NA,NA,NA
Salmo salar,Flatworm infection,Gyrodactylus salaris,Monogenean,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=504,NA,NA,NA
Oncorhynchus mykiss,Flatworm infection,Gyrodactylus salaris,Monogenean,NA,NA,https://www.cefas.co.uk/international-database-on-aquatic-animal-diseases/species-data/?id=493,NA,NA,NA
Argyrosomus regius,Flatworm infection,Gyrodactylus sp.,Monogenean,Parasites attached to fins and gills,Formalin,http://www.fao.org/fishery/culturedspecies/Argyrosomus_regius/en#tcNA00C7,NA,NA,NA
Gadus morhua,Flatworm infection,Gyrodactylus sp.,Monogenean,Respiratory problems; mucus secretion; itching,Bath treatment (formaldehyde),NA,NA,http://www.fao.org/fishery/culturedspecies/Gadus_morhua/en,NA
Lates calcarifer,Flatworm infection,Gyrodactylus sp.,Monogenean,Marine fish with opaque cornea; white patches on skin; skin ulcers; associated with high salinity & cool water temperatures,Treatment in freshwater or hydrogen peroxide bath,NA,NA,NA,NA
Sebastes schlegelii,Flatworm infection,Microcotyle sebastis,Monogenean,NA,NA,"Kim, C.S., J.B. Cho, K.J. Ahn, J.I. Lee and K.H. Kim, 2002. Treatment of Microcotyle sebastis (Monogenea:Polyopisthocotylea) infestation with praziquantel under commercial rockfish (Sebastes schlegeli) culture conditions. J. Fish. Sci. Technol. 5(2):141-143.",NA,NA,NA
Rachycentron canadum,Flatworm infection,Neobenedeniasp.,Monogenean,Reported during grow-out stage; skin damage & ulceration; eroded fins; eye lesions which can lead to blindness,Formalin treatment; freshwater bath; copper treatment; Praziquantel bath or prolonged immersion,http://www.fao.org/fishery/culturedspecies/Rachycentron_canadum/en#tcNA00D13,NA,NA,NA
